0.000		6		6		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
1.000		6		6		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
2.000		12		12		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
3.000		20		20		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
4.000		31		31		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
5.000		44		44		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
6.000		50		50		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
7.000		56		56		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
8.000		67		67		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
9.000		73		73		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
10.000		78		78		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
11.000		85		85		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
12.000		93		93		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
13.000		98		98		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
14.000		102		102		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
15.000		109		109		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
0.000		6		6		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
1.000		6		6		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
2.000		12		12		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
3.000		20		20		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
4.000		31		31		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
5.000		44		44		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
6.000		50		50		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
7.000		56		56		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
8.000		67		67		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
9.000		73		73		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
10.000		78		78		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
11.000		85		85		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
12.000		93		93		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
13.000		98		98		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
14.000		102		102		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
15.000		109		109		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
16.000		112		112		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
17.000		117		117		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
18.000		124		124		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
19.000		131		131		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
20.000		142		142		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
21.000		151		151		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
22.000		155		155		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
23.000		158		158		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
24.000		172		172		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
25.000		189		189		0		0		0		0		0.000		0.000		0.000		0.000		0		0		0		0		
