x		y		HR.State		HR		Stab.State		water.d		water.v		walk.speed		b.height		b.mass		gender
63.869		52.232		0		0.000		0		0.000		0.000		1.390		1.783		81.682		2
117.626		179.080		0		0.000		0		0.000		0.000		1.390		1.733		69.910		2
116.092		177.261		0		0.000		0		0.000		0.000		1.390		1.636		67.886		1
62.732		56.181		0		0.000		0		0.000		0.000		1.390		1.760		74.285		1
53.734		85.977		0		0.000		0		0.000		0.000		1.390		1.937		88.659		1
120.684		184.651		0		0.000		0		0.000		0.000		1.390		1.747		78.518		1
245.304		238.601		0		0.000		0		0.000		0.000		1.390		1.806		84.435		1
56.224		80.460		0		0.000		0		0.000		0.000		1.390		1.770		74.493		1
60.305		80.638		0		0.000		0		0.000		0.000		1.390		1.770		74.493		1
213.408		219.561		0		0.000		0		0.000		0.000		1.390		1.819		75.032		2
239.475		241.945		0		0.000		0		0.000		0.000		1.390		1.748		70.521		2
57.004		73.812		0		0.000		0		0.000		0.000		1.390		1.762		83.130		1
60.356		75.168		0		0.000		0		0.000		0.000		1.390		1.928		92.357		1
54.259		89.134		0		0.000		0		0.000		0.000		1.390		1.761		66.272		1
57.344		86.651		0		0.000		0		0.000		0.000		1.390		1.776		82.898		2
116.540		182.564		0		0.000		0		0.000		0.000		1.390		1.934		86.563		2
126.043		188.333		0		0.000		0		0.000		0.000		1.390		1.930		83.145		1
69.799		30.361		0		0.000		0		0.000		0.000		1.390		1.758		84.460		2
59.858		88.647		0		0.000		0		0.000		0.000		1.390		1.935		95.197		2
129.497		192.103		0		0.000		0		0.000		0.000		1.390		1.773		72.440		1
67.438		38.639		0		0.000		0		0.000		0.000		1.390		1.733		81.217		1
55.711		92.720		0		0.000		0		0.000		0.000		1.390		1.832		89.829		2
51.878		94.200		0		0.000		0		0.000		0.000		1.390		1.932		93.940		1
58.947		91.885		0		0.000		0		0.000		0.000		1.390		1.640		64.090		2
121.219		182.168		0		0.000		0		0.000		0.000		1.390		1.634		73.073		2
